hex,L,A,B,percentage
#EAB8BE,5.737032264377238,3.122181502717952,0.5987849725520134,7.086181640625
#263145,0.28239891194144207,0.034309104827948134,-0.3934636729499341,11.944580078125
#5A6A77,1.2068985510513954,-0.17603301539589888,-0.6302149842149829,14.794921875
#412B30,0.3399836623793888,0.27202383048467726,0.019811447657247516,17.083740234375
#EFDDDB,7.055303877215199,1.1397852333681486,0.6083289775378364,49.090576171875
